      1 Ballaster, Ros
      1 Ballhatchet, K. A.
     24 Ballhatchet, K.A.
      1 Ball, J.N.
      1 Ball, Simon
      3 Ball, Simon J.
      1 Ball, S.J.
      1 Ball, S.R.
      8 Ball, Stuart R.
      4 Balzaretti, Ross
      1 Balzaretti, Rossano
      1 Bamford, T.W.
      1 Bamji, Alex
      1 Banfield, Stephen
      2 Banham, P.R.
      1 Bankoff, Greg
      2 Banks, J.A.
      1 Bannerman, J.M.W.
      4 Bannerman, John W.M.
     10 Bannerman, J.W.M.
      1 Bann, S.
      1 Bann, Stephen
      1 Bantock, G.H.
      1 Banton, M.P.
      2 Barber, J.D.
      1 Barber, John D.
      2 Barber, Karin
      2 Barber, Malcolm C.
      1 Barber, Sarah
      1 Barber, Sarah E.
      3 Barbu, Z.
      1 Bargrave-Weaver, D.
      1 Barker, Eileen V.
      2 Barker, Graeme
      1 Barker, Graeme W.W.
      5 Barker, Hannah
      1 Barker, L. G. D.
      5 Barker, R.S.
      2 Barker, Simon
     23 Barker, T.C.
      1 Barkhof, Sandra
      1 Barley, M.W.
      4 Barlow, F.
      1 Barnard, L.W.
      4 Barnard, T.C.
      2 Barnard, Toby
      1 Barnard, Toby C.
      1 Barnes, A.J.L.
      2 Barnes, A. John L.
      2 Barnes, Ian R.
      1 Barnes, I.R.
      1 Barnes, J. W. B.
      1 Barnes, P.A.
      1 Barnes, S.B.
      1 Barnett, C.
      1 Barnett, Correlli
      1 Barnwell, Paul
      4 Baron, Nicholas
      3 Barrass, D.A.
      1 Barratt, Dorothy M.
      2 Barrett, J.C.
      2 Barrett, John C.
      2 Barrett, T.H.
      1 Barr, Niall
      1 Barron, Caroline
      1 Barron, Caroline     M.
      1 Barron, Caroline  M.
     27 Barron, Caroline M.
      2 Barron, J. P.
      1 Barron, Thomas J.
      7 Barron, T.J.
      1 Barrow, Geoffrey W.S.
     25 Barrow, G.W.S.
      1 Barrow, Julia
      2 Barrow, Julia S.
      1 Barr, Ronald J.
      2 Barry, J.
      8 Barry, Jonathan
      3 Barry, Terence
      1 Bartholomew, M.J.
      3 Bartlett, C.J.
      1 Bartlett, J.N.
      1 Bartlett, Ribert J.
     12 Bartlett, Robert J.
      1 Bartlett, Roger P.
      1 Bartlett, R.P.
      1 Bartley, Paula
      1 Barton, Huw
      1 Barton, J.L.
      1 Barton, Simon
      2 Bartrip, P.
      3 Bartrip, Peter W.J.
      1 Baskerville, Stephen W.
      3 Bassett, D.K.
      7 Bassett, S.R.
      4 Bassett, Steven R.
      1 Bassnett, Susan
      1 Bastin, J.
      2 Bastin, J.S.
      2 Bates, Crispin B.
      2 Bates, Crispin P.
      1 Bates, David
      7 Bates, David R.
      4 Bates, D.R.
      1 Batey, Colleen
      1 Batey, Colleen E.
     18 Batho, G.R.
      4 Bátonyi, Gábor
      2 Batstone, E.V.
      1 Battarbee, R.
      1 Bauer, P.T.
      1 Baxandall, M.D.J.
      1 Baxandall, M.D.K.
      1 Baxendale, J.D.
      3 Baxendale, John D.
      2 Baxter, Stephen D.
      1 Baxter, W.T.
      2 Baycroft, Timothy
      6 Baycroft, Timothy P.
      1 Baylis, J.B.
      1 Baylis, John B.
     15 Bayly, C.A.
      1 Bayly, Christopher
     19 Bayly, Christopher A.
      2 Beach, Jim
      1 Beadle, H. Richard L.
      1 Beagon, Mary
      3 Beales, A.C.F.
     15 Beales, D.E.D.
      4 Beales, Derek E.D.
      1 Bean, R.
      2 Beard, W. Mary
      6 Beasley, W.G.
     10 Beattie, A.J.
      1 Beattie, J.H.M.
      1 Beattie, M.H.
      4 Beaumont James, Tom
      1 Bebbington, David
     21 Bebbington, David W.
      3 Bebbington, D.W.
      3 Bechhofer, F.
      1 Bechhofer, T.
      3 Beckett, Ian
      3 Beckett, Ian F.W.
      1 Beckett, I. F. W.
      5 Beckett, J.C.
      2 Beckett, John  V.
     10 Beckett, John V.
      1 Beckett, J.V.
      1 Beckingham, C.F.
      1 Beckingsale, B.W.
      1 Beck, Peter
      1 Beck, Peter J.
      2 Beck, P.J.
      1 Beck, R.B.
      2 Beddard, R.A.
      1 Beddard, R.A.P.J.
      2 Beddoe, Deirdre
      1 Beech, R.E.
      1 Beeley, H.
      1 Behagg, C.
      3 Behagg, Clive
      2 Behr, Shulamith
      1 Beier, A. L.
      2 Beier, A.L.
      4 Beinart, William
     14 Beinart, William J.
      3 Belchem, J.C.
      6 Belchem, John C.
      3 Belich, James
      1 Bellaby, P.
      1 Bell, C.M.
      1 Bell, J.L.
      1 Bell, Jonathan W.
      1 Bell, K.M.
      1 bell, Morag
      1 Bell, P.M.H.
      1 Bell, Sarah
      1 Benecke, G.
      3 Benewick, R.J.
      1 Benjamin, A.
      1 Benjamin, Thompson
      1 Bennet, D.J.L.
      1 Bennett, A.J.
     10 Bennett, G.V.
      1 Bennett, Harry
      2 Bennett, J.A.
     10 Bennett, James A.
      1 Bennett, Jim
      1 Bennett, John
      9 Bennett, Martyn
      5 Benson, J.
      8 Benson, John
      1 Bentley, M.
      9 Bentley, M.J.
      1 Benton, E.
      1 Benton, Tim
     14 Beresford, M.W.
      1 Berger, Stefan
      7 Berghahn, V.R.
      1 Bergin, James
      1 Bergin, Joseph
      6 Berg, Maxine
      3 Berg, Maxine L.
      3 Berlin, I.
      1 Bernard, George W.
      4 Bernard, G.W.
      1 Bernbaum, G.
