     11 Stewart, A.T.Q.
     11 Stevenson, David
     11 Steele, E.D.
     11 Spufford, H. Margaret
     11 Sexton, Jay
     11 Roy, I.
     11 Robb, P.G.
     11 Pogge von Strandmann, Hartmut J.O.
     11 Pelling, Margaret H.
     11 Palmer, Marilyn
     11 O'Neill, Robert J.
     11 O'Leary, Paul B.
     11 Nossiter, T.J.
     11 Morris, R.J.
     11 Melling, Joseph L.
     11 McKibbin, R.I.
     11 McGrath, P.V.
     11 McCaskie, T.C.
     11 Mason, Tony
     11 Macinnes, Allan I.
     11 Lynch, J.
     11 Loades, D.M.
     11 Laslett, T.P.R.
     11 Lambert, Andrew D.
     11 Knight, Alan S.
     11 Jones, D.H.
     11 Johnson, Geraldine
     11 Howell, David W.
     11 Hartwell, R.M.
     11 Hargreaves, J.D.
     11 Gillespie, Raymond
     11 Emsley, Clive
     11 Emsley, C.
     11 Ellis, E.L.
     11 Cronin, Maura
     11 Cowan, I.B.
     11 Connolly, Sean J.
     11 Connelly, Mark
     11 Chapman, S.D.
     11 Chamberlain, Muriel E.
     11 Catto, R.J.A.I.
     11 Carsten, F.L.
     11 Campbell, J.K.
     11 Burke, U. Peter
     11 Bridges, R.C.
     11 Brading, D.A.
     11 Bond, Brian J.
     11 Armytage, W.H.G.
     10 Wrigley, E.A.
     10 Wordie, J.R.
     10 Wilson, B.R.
     10 Williams, P.H.
     10 Williams, G.A.
     10 Welch, David A.
     10 Welch, David
     10 Taithe, Bertrand
     10 Summerfield, Penny
     10 Stead, P.P.
     10 Smith, A. Hassell
     10 Seal, A.
     10 Scribner, R.W.
     10 Rogan, Eugene L.
     10 Roebuck, P.
     10 Richmond, C.F.
     10 Rendall, Jane L.
     10 Ranger, T.O.
     10 Prothero, I.J.
     10 Prestwich, Michael C.
     10 O'Rourke, Kevin
     10 O'Gorman, F.
     10 O'Brien, P.K.
     10 Morgan, K.O.
     10 Mingay, G.E.
     10 Millar, F.G.B.
     10 McCaffrey, J.F.
     10 Matthews, J.F.
     10 Matthew, H.C.G.
     10 Manning, B.S.
     10 Macintyre, A.D.
     10 Lonsdale, John M.
     10 Langhamer, Claire L.
     10 Kain, R.J.P.
     10 Jones, G. Stedman
     10 Jones, G.D.B.
     10 James, Thomas B.
     10 Howkins, A.J.
     10 Holmes, G.S.
     10 Hennessy, Peter J.
     10 Heal, Felicity M.
     10 Hatton, Ragnhild M.
     10 Harrison, Mark
     10 Grootenboer, Hanneke
     10 Green, Simon J.D.
     10 Greengrass, Mark
     10 Garnsey, P.D.A.
     10 Foster, Robert F. (Roy)
     10 Fisher, F.J.
     10 Farias, P.F. de M.
     10 Denton, J.H.
     10 d'Avray, David L.
     10 Crowther, M. Anne
     10 Colvin, H.M.
     10 Childs, John C.R.
     10 Checkland, S.G.
     10 Chaudhuri, K.N.
     10 Campbell, R.H.
     10 Campbell, J.
     10 Bullough, D.A.
     10 Buchanan, R.A.
     10 Brown, R.
     10 Brock, W.H.
     10 Blanning, Timothy C.W.
     10 Blanning, T.C.W.
     10 Bickers, Robert
     10 Bennett, James A.
     10 Bennett, G.V.
     10 Beckett, John V.
     10 Beattie, A.J.
     10 Bannerman, J.W.M.
      9 Yapp, M.E.
      9 Winter, J.M.
      9 Wilson, H.S.
      9 Williams, Ann
      9 White, B.R.
      9 Watkins, Charles
      9 Wanklyn, Malcolm D.G.
      9 Walvin, J.
      9 Vickery, Amanda
      9 Trapp, J.B.
      9 Thompson, A.F.
      9 Strachan, Hew F.A.
      9 Steinberg, J.
      9 Steedman, Carolyn K.
      9 Speller, Ian
      9 Smith, R.B.
      9 Smith, E.A.
      9 Smith, D.B.
      9 Sked, Alan
      9 Shukman, H.
      9 Seton-Watson, C.I.W.
      9 Ross, A.C.
      9 Rose, Michael E.
      9 Roberts, Gerrylynn K.
      9 Roberts, B.K.
      9 Riley-Smith, J.S.C.
      9 Richardson, David
      9 Pulzer, P.G.J.
      9 Pronay, N.
      9 Prince, H.C.
      9 Porter, Andrew N.
      9 Philpott, William
      9 Owen, Edward R.J.
      9 Obelkevich, J.
      9 Mitchison, Rosalind M.
      9 Meller, Helen E.
